GemName,carat,cut,clarity,depth,table,x,y,z,Lab_L,Lab_a,Lab_b,XYZ_X,XYZ_Y,XYZ_Z,Wavelength,Reflectance,Color
Amethyst,2.58,Premium,SI1,63.1,50.16,8.36,6.21,6.41,65.4,3.72,4.15,0.239,0.161,,,0.34,Blue
Topaz,1.63,Very Good,VVS2,58.59,69.94,6.47,8.93,2.62,79.49,4.13,1.49,0.264,0.175,0.312,650,0.59,Blue
Diamond,0.77,Premium,SI2,60.31,51.33,6.11,4.24,2.36,64.74,2.91,4.13,0.186,0.214,0.136,550,0.4,Blue
Ruby,2.16,Very Good,VS1,59.29,60.74,5.65,6.77,4.35,72.47,1.82,,0.566,0.599,0.45,700,0.49,Violet
Emerald,0.34,Fair,VVS1,58.12,63.95,3.09,7.53,2.29,68.13,3.44,4.24,0.548,0.353,0.562,650,0.4,Violet
Topaz,1.21,Good,VVS1,64.46,61,9.44,9.48,4.85,61.81,1.56,-0.59,0.265,0.488,0.496,700,0.49,Violet
Diamond,2.28,Fair,SI1,62.97,56.02,5.04,4.15,5.91,74.16,2.5,-1.77,0.559,0.481,0.172,550,0.47,LightYellow
Ruby,2.21,Premium,VVS1,56.74,67.11,8.89,7.95,3.13,75.81,3.46,3.42,0.32,,0.229,400,0.53,Red
Ruby,0.41,Good,SI2,60.55,58.61,8.19,3.32,6.17,76.53,4.77,-4.56,0.248,0.146,0.352,700,0.55,Red
Amethyst,,Very Good,VS1,62.97,56.01,3.8,6.97,4.91,69.8,3.66,2.32,0.595,,0.158,400,0.45,Blue
Ruby,2.84,Very Good,IF,60.8,65.37,5.19,7.51,2.73,79.52,3.54,3.64,0.315,0.48,0.381,450,0.58,FaintYellow
Sapphire,0.57,Good,SI2,59.94,52.92,6.39,8.88,4.9,76,3.9,3.71,0.142,0.107,0.189,500,0.52,FaintYellow
Diamond,4.73,Fair,VS2,55.72,54.1,,5.27,2.33,,1.68,-4.68,0.392,0.537,0.548,500,0.39,Violet
Diamond,0.68,Good,VVS1,56.06,55.06,5.81,7.88,3.57,61.99,3.94,3.82,0.191,0.355,0.316,,0.35,Violet
Diamond,4.3,Fair,,57.45,58.7,4.98,3.65,2.07,65.09,1.97,2.15,0.407,0.229,0.178,550,0.44,Blue
Amethyst,0.2,Good,IF,60.13,50.41,7.45,4.56,3.99,75.44,3.97,3.45,0.124,0.556,0.233,650,0.66,Violet
Diamond,4.43,Fair,VVS2,64.87,69.84,5.52,8.41,5.74,77.59,4.57,1.67,0.155,0.47,0.113,600,0.48,Green
Topaz,0.29,Ideal,SI2,63.02,62,5.42,9.25,5.14,73.25,3.06,2.49,0.256,0.246,0.288,400,0.6,Violet
Topaz,3.84,Good,SI2,56.1,69.41,4.9,3.11,2.89,67.76,1.04,1.18,0.408,0.47,0.301,450,0.59,White
Ruby,1.94,Fair,SI2,62.17,66.15,8.61,4.16,2.82,67.12,3.4,-0.29,0.423,0.252,0.406,600,0.68,Red
Topaz,3.74,Premium,SI2,63.1,52.69,7.52,4.47,5.17,67.18,2.38,4.29,0.424,0.369,0.232,400,0.33,Red
Ruby,2.13,Premium,VVS2,59.14,54.18,8.05,6.64,5,69.83,3.2,-3.9,0.355,0.475,0.543,650,0.59,LightYellow
Emerald,0.54,Good,SI1,58.3,50.69,5.76,4.08,2.64,74.52,2.67,-4.36,0.265,0.312,0.147,500,0.62,FaintYellow
Emerald,3.88,Good,VS2,,66.68,8.88,9.83,5.02,63.26,3.65,1.65,0.537,0.507,0.506,550,0.65,Blue
Topaz,0.54,Very Good,VS1,60.19,61.87,5.91,5.72,5.51,60.42,2.26,1.74,0.326,0.179,0.28,400,0.51,Red
Sapphire,4.63,Fair,VS1,57.65,54.3,4.24,4,5.45,61.53,2.51,3.42,0.491,0.359,0.17,450,0.35,Violet
Ruby,0.44,Good,VVS1,58.97,69.4,6.57,8.42,3.83,73.32,1.15,1.49,0.336,0.115,0.3,500,0.33,White
Amethyst,2.5,Premium,IF,60.44,64.73,6.11,6.93,5.66,76.97,1.57,-4.12,0.529,0.59,0.466,650,0.34,Violet
Amethyst,3.67,Premium,VS2,60.8,64.11,3.64,9.4,3.75,,2.53,3.79,0.114,0.188,0.179,500,0.38,Green
Emerald,2.09,Premium,IF,60.32,55.34,7.64,9.55,4.91,66.75,1.01,-4.01,0.234,0.182,0.117,550,0.33,White
Topaz,1.24,Fair,SI2,63.46,56.27,8.68,8.99,5.42,60.4,1.05,-0.51,0.49,,0.196,600,0.43,Red
Emerald,3.84,Ideal,SI2,55.32,63.36,5.49,6.95,5.4,61.22,3.52,1.29,0.446,0.133,0.449,700,0.58,Red
Amethyst,3.96,Good,SI2,58.33,61.87,8.31,4.56,3.56,75.09,2.79,1.32,0.554,0.536,0.258,450,0.56,Violet
Diamond,4.63,Ideal,VS2,62.5,62.95,7.1,6,4.57,61.79,1,-0.52,0.396,0.197,0.585,450,0.61,Red
Topaz,2.01,Fair,VS1,61.52,67.58,4.91,6.38,4.76,76.57,2.01,-1.69,0.578,0.416,0.129,600,0.47,Blue
Topaz,2.63,Good,VS1,64.18,53.21,5.41,9.83,3.06,75.62,3.54,-1.99,0.558,0.494,0.519,500,0.63,FaintYellow
Ruby,1.94,Very Good,VS2,60.88,52.33,9.62,4.77,2.04,76.39,1.8,4.73,0.563,0.35,0.569,,0.53,Violet
Amethyst,1.43,,IF,61.38,61.29,4.51,6.04,2.45,73.72,4.14,-1.6,0.407,0.118,0.24,700,,White
Ruby,3.8,Good,SI1,62.05,60,4.06,6.94,2.16,60.42,,0.81,0.545,0.258,0.321,650,0.33,White
Topaz,1.83,Good,VVS2,56.86,58.06,3.53,5.74,3.34,68.87,4.77,0.79,0.315,0.404,0.378,600,0.4,Green
Diamond,2.26,Good,VVS2,62.53,68.09,9.13,3.84,3.47,63.14,3.08,0.71,0.587,0.285,0.301,600,0.47,Violet
Sapphire,2.14,Good,SI2,58,61.17,7.7,9.23,5.9,66.76,1.7,1.21,0.183,0.424,0.214,450,0.43,FaintYellow
Topaz,3.62,Fair,VVS1,59.25,61.35,3.82,8.61,2.56,71.15,1.46,-2.38,0.249,0.356,0.28,500,0.41,LightYellow
Amethyst,4.61,Good,VVS1,55.14,57.33,8.36,4.8,2.83,74.64,1.58,-1.61,0.356,0.339,0.442,650,0.38,White
Diamond,3.4,Fair,SI1,63.44,56.88,7.41,6.13,4.79,64.64,3.81,-4.3,0.581,0.222,0.291,550,0.59,White
Ruby,2.46,Good,IF,64.53,69.75,9.9,8.15,4.11,66.7,1.63,0.71,0.389,0.575,0.275,400,0.49,White
Sapphire,3.94,Good,SI1,55.6,62.46,6.58,9.81,6.47,64.2,4.76,-2.61,0.131,0.381,0.231,450,0.58,Violet
Diamond,3.28,Fair,VS1,61.35,66.5,6.61,4.17,5.43,79.68,2.26,-3.29,0.409,0.21,0.589,600,0.52,LightYellow
Emerald,0.49,Good,IF,64.61,58.95,4.74,7.47,3.22,78.58,1.26,3.33,0.577,0.283,0.563,550,0.4,Green
Sapphire,0.66,Premium,VS2,61.07,53.84,4.34,8.72,5.25,73.07,1.65,0.82,0.316,0.158,0.489,600,0.65,Violet
Topaz,0.38,Good,SI2,62.98,56.5,8.13,3.18,3.03,76.5,2.36,0.58,0.251,0.497,0.563,500,0.32,Violet
Diamond,2.39,Very Good,VVS2,56.18,56.92,5.61,8.68,5.07,74.38,1.49,-3.44,0.4,0.397,0.335,400,0.64,Red
Emerald,4.16,Fair,VVS1,57.45,61.3,8.07,8.53,2.16,76.97,4.39,-0.55,0.442,0.49,0.27,700,0.59,Red
Topaz,1.7,Good,IF,58.46,53.09,8.42,9.46,2.9,78.72,4.83,0.55,0.302,0.442,0.475,450,0.68,Blue
Ruby,2.04,Good,IF,64.81,57.74,9.32,3.59,2.46,78.61,,,0.138,0.581,0.437,700,0.41,Blue
Amethyst,4.57,Fair,VS2,62.82,52.01,5.99,3.87,3.93,71.49,3.46,0.34,0.287,0.472,0.555,,0.35,Red
Sapphire,4.22,Ideal,SI2,63.86,,3.67,6.63,4.49,79.29,4.2,-4.85,0.344,0.437,0.16,600,0.55,LightYellow
Topaz,3.39,Premium,SI2,59.87,68.95,3.15,9.1,3.17,68.15,1.62,-3,0.36,0.403,0.484,500,0.55,Blue
Emerald,1.48,Premium,VS1,62.17,56.78,5.04,9.12,6.4,63.87,2.51,-2.83,0.45,0.137,0.316,400,0.63,Green
Ruby,0.76,Good,SI2,62.32,50.99,9.53,7.9,3.85,64.63,1.85,-1.22,0.108,0.132,0.491,450,0.48,FaintYellow
Amethyst,0.28,Fair,VS1,60.69,62.18,8.23,6.14,4.53,69.17,2.86,4.41,0.542,0.485,0.338,650,,White
Diamond,0.71,Very Good,SI2,63.78,62.69,6.91,4.62,4.09,,1.7,0.41,0.403,0.46,0.431,550,0.55,Red
Amethyst,1.6,Good,SI2,56.58,59.59,4.68,6.32,5.88,62.54,4.27,-2.44,0.365,0.218,0.442,600,0.33,Violet
Sapphire,2.85,Premium,VVS2,55.58,57.94,7.99,4.52,3.67,67.94,4.2,2.17,0.181,0.593,0.458,550,0.36,LightYellow
Topaz,0.51,Good,SI1,58.04,67.85,8.19,8.41,6.24,71.62,2.47,-2.81,0.16,0.173,0.332,450,0.43,Red
Topaz,0.85,Fair,,55.88,68.77,4.61,5.95,5.62,79.36,3.89,-3.42,0.38,0.325,0.406,450,0.35,Violet
Topaz,1.07,Very Good,VVS1,55.6,63.46,7.96,6.78,2.34,72.41,2.7,-2.02,0.459,0.598,0.495,450,0.49,
Emerald,3.23,Ideal,VS1,59.19,60.02,3.84,7.77,5.97,75.48,2.14,-2.07,0.481,0.555,0.331,450,0.69,Blue
Emerald,3.16,Very Good,VS1,57.01,51.35,,6.68,2.82,73.64,2.1,,0.385,0.201,0.146,650,0.5,Red
Emerald,2.84,Good,VS1,62.9,56.02,3.39,8.29,2.27,67.69,2.96,2.14,,0.151,0.285,600,0.67,FaintYellow
Sapphire,1.4,Premium,SI1,60.8,55.7,8.67,8.5,3,63.78,1.05,0.79,0.171,0.151,0.289,650,0.35,White
Ruby,1.98,Fair,IF,58.61,51.16,4.89,4.7,2.38,65.65,3.84,-0.07,0.383,0.231,0.586,600,0.4,Red
Emerald,0.66,Good,SI2,57.87,66.87,7.23,5.09,4.8,77.53,2.56,4.48,0.266,0.349,0.424,400,0.49,FaintYellow
Ruby,1.29,Ideal,SI2,60.63,67.34,4.01,3.42,4.01,63.11,,-4.68,0.504,0.528,0.402,600,,FaintYellow
Emerald,4.51,Fair,VS1,59.34,68.25,6.1,3.62,4.14,61.95,3.54,-0.96,0.354,0.115,0.325,400,0.55,FaintYellow
Emerald,4.9,Fair,SI1,55.56,64.84,3.19,8.81,4.77,77.06,4.02,1.85,0.212,0.347,0.128,400,0.39,Violet
Topaz,3.31,Fair,VS2,61.65,64.21,9.02,4.5,4.24,70.96,1.47,-1.8,0.515,0.173,0.531,500,0.39,FaintYellow
Topaz,4.6,Good,SI1,60,59.56,6.78,8.84,6.46,73.65,1.41,-0.25,0.557,0.422,0.491,650,0.58,White
Emerald,3.29,Ideal,VVS2,57.77,67.15,9.23,9.9,4.81,76.52,2.55,-4.7,0.192,0.463,0.132,400,0.58,Violet
Diamond,0.36,Good,VS1,57.9,60.2,6.27,4.7,4.64,66.8,3.6,-2.97,0.375,0.221,0.3,400,0.64,Blue
Diamond,4.98,Fair,VVS1,59.53,50.59,5.21,6.22,3.86,75,3.32,-4.18,0.524,0.348,0.536,450,0.37,Violet
Sapphire,0.67,Fair,IF,63.28,61.7,5.81,6.76,4.01,72.62,4.9,4.71,0.533,0.347,0.311,,0.61,Green
Ruby,3.48,Premium,SI2,59.23,57.81,4.71,9.6,6.45,60.5,2.75,2.44,0.391,0.155,0.246,450,0.51,LightYellow
Diamond,1.41,Very Good,VS2,63.4,60.43,9.2,4.25,2.02,74.41,2.4,1.53,0.366,0.448,,600,0.43,Green
Topaz,2.08,Good,SI1,59.25,58.81,5.07,8.85,2.7,66.89,4.04,-4.98,0.124,0.419,0.219,700,0.65,FaintYellow
Topaz,3.3,Ideal,VVS2,63.3,59.94,5.05,9.7,3.54,64.16,,-0.33,0.466,0.279,0.214,650,0.57,Green
Sapphire,2.3,Fair,IF,64.32,52.17,7.42,6.88,6.07,79.22,4.57,2.08,0.191,0.139,0.159,650,0.55,LightYellow
Diamond,1.4,Good,VS2,55.21,50.29,3.86,4.07,6.22,75.39,2.65,1.08,0.542,0.312,0.257,400,0.54,Blue
Emerald,1.81,Very Good,IF,55.62,56.8,4.53,5.34,2.26,60.49,3.53,0.14,0.494,0.308,0.504,700,0.59,LightYellow
Emerald,1.84,Good,VVS2,56.34,55.09,6.01,9.71,2.64,75.2,1.57,3.29,0.597,0.332,0.529,,0.55,Red
Ruby,4.8,Very Good,VVS2,56.22,55,4.28,,5.97,77.01,3.86,-1.65,0.373,0.239,0.127,650,0.68,LightYellow
Amethyst,4.03,Good,VS1,59.54,68.74,4.8,6.41,3.23,67.13,2.4,3.39,0.332,0.577,0.375,650,0.47,FaintYellow
Ruby,2.4,Premium,VVS1,62.64,66.38,7.9,4.33,3.8,66.53,1.89,-1.12,0.252,0.105,0.515,500,0.68,FaintYellow
Emerald,1.16,Good,VS1,64.61,50.27,4.96,9.33,2.02,68.47,1.54,0.81,0.12,0.525,0.238,650,0.55,Violet
Topaz,4.09,Premium,SI1,59.18,50.17,7.46,7.13,4.21,69.32,2.03,0.2,0.418,0.383,0.245,450,0.38,Violet
Sapphire,0.95,Very Good,SI2,61.88,65.54,6.46,9.46,5.89,67.61,3.04,-0.89,0.574,0.36,0.409,500,0.43,Red
Ruby,1.21,Fair,IF,61.36,69.7,8.37,9.62,3.64,70.12,4.58,-2.34,0.337,0.541,0.369,500,0.52,Green
Amethyst,1.96,Fair,VS1,58.93,59.3,8.26,6.42,5.96,79.45,2.04,-0.52,0.247,0.214,0.421,650,0.34,Violet
Emerald,4.43,Good,VVS2,62.21,58.66,4.38,9.56,3.56,60.64,1.22,-3.79,0.439,0.182,0.22,450,0.58,Blue
Topaz,0.83,Ideal,VVS2,60.92,55.52,9.6,3,4.96,79.65,4.12,-1.56,0.457,0.118,0.133,600,,Red
Topaz,0.79,Good,VVS2,62.6,,8.62,4.34,3.32,76.99,4.12,0.8,0.458,0.599,0.189,700,0.53,Violet
Topaz,2.57,Premium,VS1,56.94,59.43,6.73,8.14,4.32,75.95,1.27,-4.38,0.579,0.224,0.155,700,0.57,LightYellow
Topaz,1.53,Premium,SI2,58.6,53.35,6.92,6.69,5.73,69.01,1.73,2.44,0.161,0.151,0.105,500,0.67,Red
Emerald,2.93,Very Good,,61.71,59.63,8.8,9.94,5.82,61.5,1.64,0.67,0.506,0.508,0.295,600,0.38,FaintYellow
Ruby,2.37,Good,SI1,56.25,57.53,6.39,8.49,2.34,72.38,2.85,4.65,0.141,0.59,0.27,650,0.66,Violet
Amethyst,2.29,Very Good,VS2,62.7,67.8,6.35,7.65,,77.89,2,-4.09,0.451,0.581,0.573,700,0.32,Violet
Topaz,0.74,Ideal,VS1,56.33,65.43,7.41,9.39,4.35,68.5,3.99,-2.73,0.477,,0.309,550,0.57,Blue
Sapphire,0.88,Fair,VS1,58.24,64.02,3.62,5.36,2.99,61.39,3.47,0.38,0.302,0.137,0.554,600,0.58,LightYellow
Sapphire,4.14,Fair,,57.38,56.54,7.07,4.17,5.74,60.11,3.71,-0.15,0.459,0.428,0.454,550,0.45,LightYellow
Ruby,4.45,Good,,55.61,52.79,4.57,6.83,4.86,62.39,2.51,-0.02,0.202,0.299,0.568,400,0.67,Blue
Ruby,1.33,Very Good,VVS2,57.71,67.29,3.82,4.67,4.29,72.12,3,-1.58,0.116,0.43,0.248,700,0.38,Green
Ruby,0.74,Very Good,SI2,64.12,56.85,8.71,4.63,5.65,79.82,3.72,3.66,0.189,0.593,0.513,450,0.66,Green
Ruby,0.46,Ideal,VVS1,55.27,61.86,5.67,5.14,2.92,74.24,3.11,-4.49,0.169,0.235,0.251,600,0.41,Green
Emerald,3.12,Very Good,VS1,55.17,61.82,6.52,7.73,4.62,63.14,1.3,3.72,0.52,0.366,0.196,450,0.56,Red
Diamond,3.63,Premium,VS1,62.04,68.56,5.05,3.17,6.33,77.25,2.45,2.76,0.236,0.332,0.31,600,0.4,Blue
Emerald,1.99,Premium,VVS1,58.67,53.43,3.22,8.95,4.87,73.21,4.88,2.88,0.462,0.378,0.157,400,0.63,Red
Topaz,3.46,Premium,VS1,57.3,65.43,6.1,7.28,4.69,66.03,3.01,4.1,0.516,0.363,0.583,400,0.36,White
Ruby,3.62,Good,SI2,60.09,59.25,8.25,5.13,2.13,70.03,2.64,0.67,0.577,0.386,0.34,550,0.54,Violet
Ruby,4.69,Premium,VVS1,57.67,53.5,8.31,3.79,2.82,,4.56,3.66,0.513,0.373,0.167,450,0.66,Green
Diamond,0.51,Premium,VVS2,58.92,66.71,9.45,8.53,4.75,77.42,3.65,-0.95,0.522,0.17,0.135,500,0.34,White
Topaz,1.12,Fair,VS2,62.15,66.4,8.88,6.06,5.16,79.07,2.71,1.84,0.272,0.232,0.599,650,0.69,Green
Diamond,0.53,Good,VS1,56.17,50.8,9.88,6.05,,62.47,3.38,-1.95,0.245,0.18,0.415,550,0.48,Green
Amethyst,4.37,Premium,VS2,64.6,64.19,7,6.29,5.92,62.95,2.35,3.06,0.31,0.243,0.306,550,0.33,Red
Sapphire,4,Ideal,VS1,,53.07,3.36,5.9,3.62,61.65,4.21,-4.65,0.439,0.46,0.196,400,0.69,FaintYellow
Diamond,2.96,Premium,IF,63.07,62.21,9.04,6.59,5.1,67.6,3.87,3.45,0.255,0.578,0.267,,0.52,Red
Diamond,0.6,Good,SI2,62.25,62.88,9.66,7.41,4.09,79.42,1.87,-3.82,0.115,0.21,0.55,500,0.46,White
Amethyst,1.51,Very Good,SI1,57.82,63.3,6.25,6.02,4.15,79.75,2.23,-3.44,0.373,0.27,0.361,550,0.61,Green
Sapphire,1.63,Fair,IF,56.18,52.4,3.8,9.81,6.25,71.92,1.01,2.57,0.117,0.39,0.242,450,0.31,Green
Topaz,2.89,Fair,VVS2,63.52,61.97,3.17,5.78,5.3,69.27,4.16,-2.63,0.491,0.345,0.557,,0.54,Green
Topaz,1.44,Good,VS2,61.8,52,7.29,4.5,6.36,66.05,1.36,-0.09,0.161,0.419,0.524,700,0.55,White
Topaz,0.55,Premium,VS2,57.91,64.91,7.67,9.86,5.49,60.01,3.29,-0.01,0.557,0.274,0.206,700,0.55,Violet
Diamond,3.71,Ideal,VVS1,55.17,51.27,3.11,5.07,5.27,65.26,4.39,-1.25,0.372,0.127,0.333,400,0.53,LightYellow
Emerald,1.64,Premium,SI2,64.38,65.16,9.64,7.35,3.92,62.93,4.86,4.33,0.42,0.301,0.477,400,0.45,Red
Amethyst,2.37,Premium,VVS1,59.04,67.67,6.8,8.8,2.48,60.04,2.28,0.64,0.285,0.259,0.16,600,0.63,LightYellow
Sapphire,0.81,Ideal,VS1,56.76,55.97,7.29,3.03,4.84,77.92,1.73,2.17,0.425,0.332,0.354,450,0.65,Red
Ruby,4.05,Fair,VVS1,64.12,65.57,6.95,4.98,4.11,61.69,4.95,3.9,0.227,0.314,0.281,550,0.35,Blue
Sapphire,2.91,Premium,VVS1,58.59,58.35,5.22,6.72,4.66,74.17,1.75,1.15,0.506,0.482,0.372,550,0.61,White
Diamond,4.53,Very Good,VS2,59.63,65.95,9.3,6.19,3.27,78.49,1.6,1.95,0.261,0.385,0.351,500,0.64,Violet
Topaz,2.58,Very Good,IF,61.99,63.73,3.03,3.51,2.88,62.54,4.7,-0.58,0.418,0.18,0.207,450,0.64,Violet
Ruby,4.72,Good,VS2,63.19,55.78,8.23,6.13,3.19,64.81,4.74,4.95,0.461,0.355,0.431,400,0.43,Green
Ruby,4.48,Good,SI2,56,53.87,5.53,3.74,4.96,64.7,2.92,2.76,0.258,,0.142,650,0.41,Red
Amethyst,2.97,Ideal,VVS1,63.99,68.29,4.33,4.75,6.29,61.72,,4.65,0.42,0.212,0.245,450,0.44,White
Emerald,4.68,Ideal,VS1,64.33,66.78,6.05,8.24,6.46,78.19,2.67,-3.73,0.287,0.403,0.239,450,0.45,Green
Topaz,1.75,Good,IF,57.59,63.2,4.39,4.25,5.64,76.98,4.71,-4.77,0.371,0.196,0.537,650,0.5,Green
Topaz,1.96,,VVS1,59.97,56.99,9.08,7.66,6.31,67.62,4.34,0.23,0.493,0.318,0.596,500,0.33,Blue
Emerald,0.42,Fair,VVS1,63.58,60.21,8.57,9.81,3.28,75.39,3.06,2.32,0.465,0.598,0.201,500,0.51,Blue
Diamond,3.03,Very Good,SI1,59.87,61.16,9,4.73,2.02,70.19,2.78,3.33,0.218,0.375,0.392,600,0.48,Green
Ruby,3.67,Ideal,VS1,59.82,51.72,8.85,4.82,2.87,73.58,3.75,3.49,0.452,0.449,0.52,650,0.36,Red
Emerald,3.91,Good,VS1,61.19,69.44,8.77,9.67,4.86,73.78,3.66,-2.13,0.505,0.317,0.209,400,0.52,Blue
Topaz,0.92,Very Good,VVS1,62.67,51.84,7.07,7.66,6.05,75.51,1.33,2.59,0.172,0.543,0.567,500,0.55,Red
Sapphire,2.33,Ideal,VVS1,61.66,64.43,9.31,8.39,6.12,77.98,2.12,-3.43,0.121,0.223,0.359,400,0.43,Red
Ruby,1.05,Ideal,VS2,61.27,59.86,3.41,8.54,5.74,75.78,2.75,0.19,0.323,0.273,0.594,500,0.39,Green
Emerald,3.38,Premium,VVS2,58.72,65.2,,8.11,5.43,74.13,3.24,-2.65,0.224,0.462,0.497,600,0.3,Violet
Ruby,0.96,Ideal,VS1,61.3,55.22,4.49,9.84,3.37,72.44,1.77,-2.68,0.149,0.469,0.368,550,0.5,LightYellow
Sapphire,4.54,Fair,SI2,56.03,57.9,3.85,4.92,2.39,64.18,2.28,-2,0.541,0.493,0.289,600,0.32,FaintYellow
Sapphire,1.31,Ideal,VS1,59.1,60.51,3.04,6.63,4.36,65.66,3.02,-1.93,0.117,0.546,0.498,650,0.5,FaintYellow
Topaz,1.6,Fair,SI2,56.88,52.41,5.82,7.65,3.51,61.51,4.6,-1.65,0.267,0.407,0.404,450,0.61,Violet
Ruby,4.28,Premium,SI2,60.38,67.04,8.07,7.95,2.58,65.16,2.55,4.13,0.486,0.476,0.354,650,,Violet
Diamond,2.4,Fair,SI1,57.62,69.83,7.51,4.35,4.06,70.88,2.18,1.87,0.12,0.237,0.169,500,0.31,FaintYellow
Sapphire,0.32,Very Good,VS2,60.06,58.35,7.56,9.13,4.37,79.07,4.41,-4.96,0.211,0.143,0.41,450,0.46,Blue
Diamond,2.57,Ideal,IF,62.77,57.54,9.22,8.7,5.48,62.54,1.93,-0.99,0.412,0.593,0.403,450,0.58,Green
Sapphire,0.61,Good,SI1,59.34,61.88,9.7,4.85,5.64,68.86,3.42,-3.35,0.334,0.53,0.338,600,0.36,Blue
Emerald,4.93,Good,SI1,57.19,63.77,7.76,6.81,4.11,75.02,2.65,2.21,0.144,0.459,0.21,,0.49,LightYellow
Ruby,3.02,Fair,IF,57.23,67.37,3.59,5.06,6.14,75.87,4.63,4.83,0.301,0.145,,600,0.59,LightYellow
Amethyst,1.43,Premium,IF,64.06,,7.74,5.56,5.55,63.82,3.75,-0.01,0.253,0.256,0.23,700,0.36,Violet
Emerald,2.91,Fair,VS1,62.81,65.3,6.88,6.73,3.95,63.57,4.55,4.81,0.45,0.32,0.286,500,0.58,LightYellow
Sapphire,0.57,Fair,VVS2,55.37,54.8,3.45,6.78,3.58,72.21,3.64,-2.24,0.379,0.172,0.306,550,0.69,Blue
Sapphire,4.04,Fair,VVS2,64.43,63.61,4.8,6.72,3.43,78.28,3.25,0.81,0.364,0.282,0.191,450,0.39,Blue
Emerald,4.64,Very Good,SI2,56.13,59.33,4.66,6.81,4.09,76.09,2.67,0.45,0.48,0.104,0.369,450,0.43,LightYellow
Amethyst,4.4,Very Good,VS2,61.53,63.23,8.41,7.45,3.49,67.69,3.45,2.96,0.206,0.17,0.474,400,0.3,White
Amethyst,1.84,Fair,SI2,,57.6,5.42,3.11,4.11,73.17,4.15,-2.39,0.41,0.253,0.203,700,0.45,Green
Amethyst,1.76,Premium,IF,55.47,55.89,6.5,3.98,4.6,65.1,2.73,-2.41,0.195,0.417,0.587,650,0.49,FaintYellow
Ruby,0.37,Ideal,IF,57.95,59.72,8.5,6.29,2.75,69.43,3.55,-1.45,0.349,0.465,0.191,650,0.42,Violet
Diamond,3.33,Good,VVS1,62.76,67.9,9.56,7.96,5.59,70.71,2.77,0.84,0.458,0.265,0.467,400,0.57,LightYellow
Emerald,2.77,Very Good,VS2,58.07,63.5,6.77,6.56,2.51,72.75,1.38,-3.65,0.451,0.474,0.439,450,0.35,FaintYellow
Sapphire,2.4,Ideal,SI1,59.8,62.23,6.89,7.4,3.82,68.01,3.25,4.55,0.327,,0.157,450,0.57,Red
Sapphire,4.56,Very Good,SI1,61.98,64.4,3.67,9.79,2.74,60.64,1.26,-0.39,0.23,0.498,0.546,700,0.63,Red
Ruby,1.01,Very Good,VS2,55.72,64.58,6.46,8.11,3.37,78.56,3.39,0.03,0.111,0.567,0.352,700,0.48,FaintYellow
Emerald,0.25,Very Good,VS1,63.33,55.89,7.81,9.58,4.06,79.12,4.36,-0.89,0.294,0.129,0.161,550,0.39,Violet
Topaz,0.55,Fair,,55.42,54.65,4.32,3.13,5.37,73.74,1.62,-1.13,0.398,0.454,0.237,400,0.65,FaintYellow
Topaz,1.27,Fair,VS2,57.62,60.18,3.78,6.13,4.82,65.33,3.39,-0.44,0.246,0.148,,650,0.55,FaintYellow
Sapphire,0.36,Very Good,VVS2,62.63,52.96,9.04,5.48,3.62,71.89,1.24,-2.58,0.505,0.184,0.212,600,0.48,Red
Sapphire,2.61,Very Good,VS2,64.12,59.49,3.8,7.94,4.66,65.52,2.08,-3.52,0.522,0.471,0.386,450,0.58,Violet
Emerald,1.71,Good,VVS2,61.23,63.86,9.39,9.51,3.33,73.98,1.5,-0.64,0.31,0.167,0.329,650,0.61,Violet
Amethyst,1.07,Ideal,VS1,57.27,50.15,4.92,3.28,5.77,67.21,1.1,1.23,0.327,0.322,0.212,600,0.5,Blue
Amethyst,3.8,Ideal,SI2,64.86,52.22,5.31,3.4,4.17,71.15,4.38,-1.44,0.189,0.22,0.4,550,0.69,Red
Ruby,1.18,Premium,VS2,59.13,69.24,6.68,7.71,5.23,61.18,2.64,-3.92,0.179,0.373,0.507,500,0.41,Red
Diamond,3.5,Premium,VVS2,58.76,51.42,4.32,5.42,3.4,79.92,1.61,0.24,0.216,0.534,0.532,450,0.44,White
Diamond,1.88,Premium,VVS1,63.65,58.36,7.82,4.42,5.05,73.24,3.54,0.24,0.305,0.452,0.326,700,0.44,Blue
Sapphire,2.66,Fair,VVS1,55.66,61.8,6.67,9.68,6.17,78.8,4.61,-3.31,0.586,0.274,0.575,550,0.41,Violet
Emerald,4.68,Fair,VS2,60.56,53.11,9.62,3.1,2.48,74.89,3.01,-1.57,0.412,0.153,0.192,450,0.66,FaintYellow
Amethyst,0.38,Good,IF,64.66,56.62,9.38,4.92,4.66,71.24,4.32,2.89,0.311,0.557,0.31,600,0.46,FaintYellow
Diamond,2.6,Fair,VS2,56,65.86,8.39,5.32,4.25,74.73,4.37,-4.68,0.209,0.259,0.345,550,0.5,FaintYellow
Diamond,4.3,Premium,VS1,60.41,67.12,4.29,8.48,4.43,69.39,4,-4.05,0.489,0.592,0.313,500,0.54,Red
Amethyst,3.02,Very Good,VS1,56.32,58.11,4.5,6.93,2.88,79.19,2.1,2.01,0.42,0.281,0.221,650,0.51,FaintYellow
Ruby,1.53,Premium,VVS1,63.9,56.22,4.88,5.3,2.12,75.49,2.87,0.72,0.303,0.284,0.455,650,0.61,White
